customer_id,age,tenure_months,monthly_charges,total_charges,usage_minutes,support_tickets,last_login_days,contract_type,payment_method,churn
41,20,50,44.83,2241.5,485,1,9,Month-to-Month,Net Banking,0
42,54,20,137.43,2748.6,386,1,48,Month-to-Month,Net Banking,1
43,68,45,31.62,1422.9,430,0,57,One Year,Credit Card,0
44,24,40,97.75,3910.0,462,1,9,Month-to-Month,Credit Card,1
45,38,39,14.03,547.17,507,0,13,One Year,Net Banking,0
46,26,49,100.12,4905.88,691,1,35,Month-to-Month,Credit Card,1
47,56,53,48.8,2586.4,247,2,9,Month-to-Month,UPI,1
48,35,23,72.95,1677.85,661,0,55,Month-to-Month,Credit Card,1
49,21,47,58.34,2741.98,378,1,53,Two Year,Net Banking,1
50,42,32,34.19,1094.08,487,2,49,Month-to-Month,UPI,0
51,31,52,97.08,5048.16,413,2,36,Month-to-Month,Credit Card,0
52,67,47,133.48,6273.56,722,3,40,Two Year,UPI,0
53,26,33,144.27,4760.91,440,1,37,One Year,Net Banking,1
54,43,57,36.93,2105.01,562,0,47,Two Year,Credit Card,1
55,19,46,110.43,5079.78,568,1,21,Month-to-Month,Net Banking,0
56,37,5,103.01,515.05,360,0,22,One Year,Debit Card,0
57,45,43,58.07,2497.01,488,1,15,Month-to-Month,Net Banking,1
58,64,48,12.67,608.16,644,0,10,One Year,Debit Card,0
59,24,34,106.57,3623.38,395,0,52,Two Year,UPI,0
60,61,40,142.37,5694.8,599,1,46,Month-to-Month,UPI,0
61,25,11,98.5,1083.5,460,0,50,Month-to-Month,Debit Card,1
62,64,50,70.94,3547.0,639,0,34,One Year,UPI,0
63,52,3,83.52,250.56,709,0,47,Month-to-Month,UPI,1
64,31,58,37.95,2201.1,259,0,52,One Year,Net Banking,0
65,34,33,115.08,3797.64,339,0,19,Month-to-Month,Debit Card,1
66,53,11,114.5,1259.5,447,1,36,Two Year,Credit Card,0
67,67,16,30.37,485.92,675,0,40,Month-to-Month,UPI,0
68,57,18,132.92,2392.56,563,2,4,Month-to-Month,UPI,1
69,21,30,47.69,1430.7,350,0,35,Month-to-Month,Credit Card,1
70,19,48,147.52,7080.96,581,3,12,Month-to-Month,Net Banking,0
71,23,55,63.61,3498.55,390,2,51,Month-to-Month,Net Banking,1
72,59,10,34.9,349.0,604,0,16,Month-to-Month,Net Banking,0
73,21,18,59.24,1066.32,564,1,25,Month-to-Month,Credit Card,0
74,46,38,71.63,2721.94,389,0,51,Two Year,Net Banking,0
75,35,19,19.7,374.3,492,1,43,Month-to-Month,UPI,1
76,43,36,90.95,3274.2,646,0,51,One Year,Net Banking,1
77,61,59,93.67,5526.53,272,2,56,Month-to-Month,UPI,1
78,51,13,113.45,1474.85,536,0,58,Month-to-Month,Credit Card,1
79,27,56,14.08,788.48,367,0,19,Month-to-Month,Net Banking,0
80,53,46,85.77,3945.42,498,0,38,One Year,Net Banking,0
81,31,3,17.41,52.23,554,1,32,Month-to-Month,UPI,1
82,48,10,108.16,1081.6,741,1,29,Month-to-Month,Credit Card,1
83,65,38,17.8,676.4,496,3,15,Month-to-Month,Net Banking,0
84,32,1,137.64,137.64,675,3,6,Month-to-Month,Credit Card,1
85,25,55,108.29,5955.95,399,0,29,Month-to-Month,UPI,0
86,31,56,81.03,4537.68,440,0,1,Month-to-Month,UPI,0
87,40,27,71.81,1938.87,570,0,11,Month-to-Month,Net Banking,1
88,57,46,28.29,1301.34,524,2,42,One Year,Credit Card,0
89,38,8,50.74,405.92,460,0,39,Month-to-Month,UPI,1
90,33,51,131.65,6714.15,457,0,0,Month-to-Month,Credit Card,1
91,62,46,136.62,6284.52,659,0,57,Month-to-Month,Debit Card,0
92,35,42,10.1,424.2,465,1,2,Month-to-Month,Debit Card,1
93,64,17,93.18,1584.06,377,0,7,Month-to-Month,Net Banking,0
94,41,9,110.7,996.3,397,3,25,One Year,Credit Card,1
95,43,6,96.62,579.72,580,1,39,One Year,Credit Card,1
96,42,43,21.44,921.92,770,1,10,Month-to-Month,UPI,0
97,62,25,40.48,1012.0,437,1,20,Month-to-Month,Credit Card,0
98,58,39,45.05,1756.95,757,0,4,Month-to-Month,Credit Card,1
99,46,49,126.44,6195.56,498,1,39,Month-to-Month,UPI,1
100,32,28,74.85,2095.8,466,2,25,Two Year,Net Banking,0
101,62,33,78.16,2579.28,390,3,20,One Year,UPI,0
102,18,54,140.89,7608.06,476,0,8,Month-to-Month,Debit Card,0
103,42,37,99.19,3670.03,409,2,16,Two Year,Credit Card,0
104,24,9,135.81,1222.29,399,2,36,Month-to-Month,Credit Card,1
105,26,18,73.91,1330.38,301,1,50,Month-to-Month,Net Banking,1
106,41,56,30.92,1731.52,711,1,50,Month-to-Month,Debit Card,1
107,18,59,140.19,8271.21,627,3,1,Month-to-Month,Credit Card,1
108,61,21,74.22,1558.62,532,0,50,Two Year,UPI,0
109,25,2,35.43,70.86,482,0,54,Two Year,Credit Card,1
110,41,58,52.34,3035.72,499,0,46,One Year,Net Banking,0
111,28,43,17.11,735.73,406,1,39,Month-to-Month,UPI,1
112,68,59,75.56,4458.04,363,1,27,One Year,Credit Card,0
113,34,38,129.44,4918.72,586,1,55,One Year,Net Banking,0
114,25,58,140.7,8160.6,468,1,26,Month-to-Month,Debit Card,0
115,52,40,140.56,5622.4,539,1,39,Month-to-Month,UPI,1
116,52,36,27.53,991.08,300,1,0,One Year,UPI,0
117,50,50,63.49,3174.5,462,0,45,Two Year,Debit Card,0
118,22,43,13.95,599.85,361,1,10,One Year,UPI,0
119,59,37,129.72,4799.64,558,1,38,Month-to-Month,Net Banking,0
120,56,15,60.23,903.45,619,2,17,Month-to-Month,Debit Card,0
121,58,28,98.36,2754.08,675,0,26,Two Year,Credit Card,0
122,45,18,110.09,1981.62,424,0,46,One Year,Net Banking,0
123,24,34,70.18,2386.12,364,1,9,Month-to-Month,Debit Card,1
124,26,22,52.9,1163.8,449,2,35,Month-to-Month,Credit Card,0
125,25,11,144.71,1591.81,416,2,20,Two Year,Net Banking,0
126,29,58,145.03,8411.74,551,2,27,Two Year,Net Banking,0
127,51,57,50.52,2879.64,331,0,0,One Year,UPI,0
128,50,13,77.15,1002.95,289,1,13,Month-to-Month,UPI,0
129,65,4,146.2,584.8,458,0,19,One Year,Debit Card,0
130,40,22,10.68,234.96,587,1,51,Month-to-Month,Credit Card,1
131,41,7,67.77,474.39,376,4,56,Two Year,Net Banking,1
132,54,43,24.06,1034.58,601,1,8,Month-to-Month,Net Banking,1
133,52,54,81.28,4389.12,543,0,44,One Year,Debit Card,0
134,61,24,13.45,322.8,685,1,26,One Year,UPI,0
135,57,4,66.97,267.88,403,0,57,One Year,Net Banking,1
136,39,28,40.9,1145.2,307,0,48,Month-to-Month,Net Banking,0
137,44,15,84.66,1269.9,571,1,55,Month-to-Month,UPI,0
138,52,1,149.44,149.44,533,0,51,One Year,Credit Card,1
139,18,55,122.08,6714.4,524,0,3,Month-to-Month,Credit Card,0
140,52,3,128.39,385.17,374,3,36,Month-to-Month,UPI,1
141,54,14,98.94,1385.16,593,2,17,Two Year,Net Banking,0
142,64,38,15.82,601.16,423,1,30,Month-to-Month,UPI,1
143,31,50,38.95,1947.5,524,2,48,One Year,Credit Card,0
144,20,57,139.51,7952.07,444,1,52,Month-to-Month,Debit Card,0
145,18,1,61.26,61.26,542,1,38,One Year,Debit Card,0
146,22,38,24.51,931.38,356,4,9,One Year,Credit Card,0
147,43,38,108.34,4116.92,559,2,8,One Year,Credit Card,0
148,31,21,51.92,1090.32,578,0,27,Two Year,Credit Card,0
149,56,48,47.64,2286.72,513,0,27,Month-to-Month,UPI,1
150,44,29,149.72,4341.88,697,0,12,One Year,Debit Card,0
151,26,5,130.14,650.7,524,0,17,One Year,Credit Card,0
152,32,49,67.11,3288.39,610,0,11,Month-to-Month,Net Banking,1
153,32,10,147.24,1472.4,511,1,7,Month-to-Month,Debit Card,0
154,43,28,101.02,2828.56,599,2,22,Two Year,UPI,1
155,59,21,113.88,2391.48,316,2,49,Month-to-Month,Net Banking,1
156,30,50,14.41,720.5,503,0,4,Month-to-Month,UPI,1
157,68,7,27.02,189.14,364,0,6,Month-to-Month,Credit Card,1
158,49,3,98.63,295.89,516,1,14,Month-to-Month,Credit Card,0
159,56,45,135.86,6113.7,546,0,2,Two Year,Credit Card,0
160,66,47,97.32,4574.04,596,0,17,Month-to-Month,Net Banking,0
161,69,20,28.76,575.2,558,1,37,Month-to-Month,Credit Card,0
162,49,19,26.21,497.99,459,1,25,One Year,Debit Card,0
163,21,35,128.19,4486.65,409,1,37,Month-to-Month,Credit Card,1
164,47,4,29.5,118.0,218,1,58,One Year,Debit Card,0
165,54,5,82.83,414.15,508,1,51,One Year,Net Banking,0
166,40,1,15.2,15.2,636,1,32,One Year,UPI,0
167,56,4,21.29,85.16,513,1,20,One Year,UPI,0
168,62,12,104.13,1249.56,489,1,16,Month-to-Month,Debit Card,1
169,32,27,106.49,2875.23,517,0,42,Month-to-Month,Net Banking,1
170,60,56,57.81,3237.36,453,2,58,Month-to-Month,Debit Card,1
171,46,42,40.19,1687.98,523,2,55,Month-to-Month,Credit Card,1
172,53,23,123.92,2850.16,451,0,1,Month-to-Month,Credit Card,1
173,30,25,40.39,1009.75,392,0,24,Month-to-Month,Credit Card,0
174,49,21,85.88,1803.48,490,2,40,Month-to-Month,UPI,1
175,24,58,145.55,8441.9,488,1,18,Month-to-Month,Debit Card,0
176,68,52,30.7,1596.4,725,1,37,Month-to-Month,Net Banking,1
177,39,24,141.72,3401.28,403,0,24,Month-to-Month,Debit Card,0
178,45,25,35.61,890.25,480,1,38,Month-to-Month,Debit Card,0
179,19,45,89.44,4024.8,469,2,3,One Year,Debit Card,0
180,59,55,62.78,3452.9,446,0,2,One Year,Credit Card,0
181,62,46,145.09,6674.14,561,0,33,One Year,Credit Card,0
182,23,32,48.3,1545.6,768,2,41,Two Year,Debit Card,0
183,45,55,65.95,3627.25,461,1,9,One Year,Credit Card,0
184,45,32,147.6,4723.2,561,1,48,One Year,UPI,0
185,61,5,85.11,425.55,270,2,26,Month-to-Month,Credit Card,0
186,61,36,80.37,2893.32,452,2,47,Month-to-Month,UPI,1
187,37,46,46.09,2120.14,686,4,25,One Year,UPI,0
188,47,42,108.19,4543.98,493,2,26,Month-to-Month,Debit Card,0
189,28,49,12.01,588.49,560,1,0,Month-to-Month,Debit Card,0
190,45,42,16.93,711.06,425,2,43,Month-to-Month,Credit Card,1
191,42,58,93.91,5446.78,530,1,19,Month-to-Month,Net Banking,0
192,56,39,57.83,2255.37,695,0,51,One Year,Debit Card,0
193,50,16,143.46,2295.36,360,1,24,Month-to-Month,UPI,1
194,18,33,136.45,4502.85,762,3,9,Month-to-Month,UPI,1
195,44,49,109.92,5386.08,314,1,0,Month-to-Month,Credit Card,0
196,69,21,124.54,2615.34,441,2,15,One Year,UPI,0
197,30,9,103.43,930.87,399,0,10,One Year,Debit Card,1
198,58,6,27.58,165.48,467,0,3,Month-to-Month,Credit Card,0
199,20,51,117.18,5976.18,398,1,34,One Year,Credit Card,1
200,56,45,39.43,1774.35,389,3,56,Month-to-Month,Net Banking,0
201,23,35,55.28,1934.8,357,0,12,One Year,Credit Card,0
202,25,39,124.69,4862.91,577,1,20,One Year,Net Banking,1
203,44,22,85.11,1872.42,471,1,14,Two Year,Debit Card,0
204,26,41,130.39,5345.99,440,0,56,Month-to-Month,UPI,0
205,54,54,39.82,2150.28,533,1,9,Month-to-Month,Debit Card,0
206,50,5,95.09,475.45,320,1,37,Month-to-Month,Credit Card,1
207,68,42,21.73,912.66,536,2,10,Month-to-Month,Net Banking,1
208,59,23,100.03,2300.69,488,2,56,Month-to-Month,UPI,1
209,61,17,116.75,1984.75,492,2,31,Month-to-Month,Credit Card,0
210,41,12,91.89,1102.68,562,1,32,Month-to-Month,Debit Card,1
211,32,23,47.27,1087.21,697,0,19,Two Year,Credit Card,0
212,49,16,14.39,230.24,538,0,35,Month-to-Month,Net Banking,1
213,49,3,26.72,80.16,476,0,29,Two Year,Debit Card,0
214,41,30,97.12,2913.6,358,2,57,One Year,Credit Card,0
215,58,57,140.82,8026.74,213,2,9,Two Year,Net Banking,0
216,69,22,38.91,856.02,515,3,53,Two Year,Credit Card,0
217,66,9,112.9,1016.1,348,2,57,One Year,Net Banking,1
218,66,29,131.3,3807.7,195,1,14,One Year,Credit Card,0
219,69,47,82.92,3897.24,457,0,28,Month-to-Month,Debit Card,1
220,29,37,103.7,3836.9,528,2,0,Month-to-Month,Debit Card,1
221,56,23,124.1,2854.3,589,0,57,Two Year,Debit Card,0
222,19,13,46.49,604.37,627,1,20,Month-to-Month,Debit Card,0
223,20,32,51.57,1650.24,605,1,14,Month-to-Month,Debit Card,0
224,66,46,10.09,464.14,608,0,2,One Year,UPI,0
225,54,52,144.83,7531.16,323,1,32,Month-to-Month,Credit Card,1
226,66,47,138.46,6507.62,482,0,37,One Year,Debit Card,0
227,34,48,117.04,5617.92,569,1,18,Month-to-Month,UPI,1
228,66,23,21.07,484.61,505,1,3,One Year,UPI,1
229,19,45,72.65,3269.25,481,5,11,Month-to-Month,Credit Card,1
230,19,17,24.26,412.42,503,2,24,Two Year,Net Banking,0
231,45,55,12.23,672.65,529,3,33,Month-to-Month,Credit Card,1
232,40,40,96.27,3850.8,490,0,16,One Year,Credit Card,0
233,54,21,144.52,3034.92,398,1,57,Month-to-Month,Net Banking,1
234,49,2,136.4,272.8,295,1,5,Month-to-Month,Net Banking,1
235,50,37,107.55,3979.35,475,2,11,Month-to-Month,Debit Card,0
236,18,6,23.53,141.18,506,0,14,Month-to-Month,Net Banking,0
237,36,44,48.38,2128.72,505,1,16,One Year,Net Banking,0
238,19,18,54.81,986.58,614,2,0,Month-to-Month,Credit Card,0
239,61,30,116.84,3505.2,635,1,13,Month-to-Month,Credit Card,0
240,43,22,122.31,2690.82,487,1,54,Month-to-Month,Credit Card,1
241,49,54,63.91,3451.14,488,2,1,Two Year,Net Banking,0
242,23,33,68.5,2260.5,568,4,3,Month-to-Month,UPI,1
243,49,30,16.23,486.9,551,1,51,Month-to-Month,Debit Card,1
244,21,17,50.48,858.16,446,4,1,One Year,Credit Card,1
245,28,43,73.18,3146.74,579,1,53,Two Year,UPI,1
246,34,32,26.38,844.16,482,0,25,Two Year,Debit Card,0
247,55,42,73.46,3085.32,484,1,45,Two Year,Credit Card,0
248,41,51,129.44,6601.44,552,3,49,Month-to-Month,UPI,1
249,22,14,91.38,1279.32,463,4,59,One Year,Debit Card,1
250,69,58,21.05,1220.9,511,0,39,One Year,Credit Card,0
251,51,10,36.83,368.3,535,3,51,Two Year,Credit Card,1
252,23,47,76.44,3592.68,598,2,32,Month-to-Month,UPI,1
253,39,51,60.61,3091.11,589,1,47,Two Year,Net Banking,0
254,28,36,60.22,2167.92,532,1,38,Month-to-Month,Net Banking,1
255,65,34,84.1,2859.4,186,2,5,One Year,Credit Card,0
256,33,9,91.82,826.38,529,1,59,Month-to-Month,UPI,1
257,50,42,121.56,5105.52,547,1,29,Month-to-Month,Net Banking,1
258,26,28,57.74,1616.72,572,3,21,Month-to-Month,Net Banking,0
259,23,11,122.77,1350.47,385,1,26,Month-to-Month,Net Banking,1
260,33,14,57.41,803.74,245,2,18,One Year,UPI,0
261,46,39,17.76,692.64,596,2,9,One Year,UPI,0
262,20,55,87.59,4817.45,353,0,54,One Year,Debit Card,1
263,37,47,92.31,4338.57,646,2,5,Month-to-Month,Net Banking,1
264,53,54,140.84,7605.36,430,2,25,Two Year,UPI,0
265,36,19,111.65,2121.35,376,0,41,One Year,Debit Card,0
266,43,54,138.49,7478.46,541,3,56,Month-to-Month,Credit Card,0
267,20,15,137.17,2057.55,573,0,50,One Year,Debit Card,0
268,36,28,94.64,2649.92,566,1,2,Month-to-Month,Net Banking,0
269,37,24,83.89,2013.36,560,1,51,Month-to-Month,UPI,0
270,49,8,88.04,704.32,415,0,2,Month-to-Month,Net Banking,1
271,24,43,146.97,6319.71,316,1,51,Month-to-Month,Net Banking,1
272,69,9,118.24,1064.16,453,0,5,Month-to-Month,Credit Card,1
273,58,47,24.88,1169.36,362,1,48,Month-to-Month,UPI,0
274,50,33,118.98,3926.34,551,1,49,Two Year,UPI,0
275,57,33,33.88,1118.04,604,0,9,Month-to-Month,Credit Card,0
276,56,19,72.63,1379.97,520,1,37,Month-to-Month,UPI,1
277,35,3,39.46,118.38,499,0,59,Two Year,Debit Card,1
278,57,10,106.54,1065.4,462,1,12,Month-to-Month,Net Banking,1
279,18,40,132.82,5312.8,617,0,37,One Year,Credit Card,1
280,28,47,50.65,2380.55,280,1,11,Month-to-Month,Credit Card,0
281,45,42,21.48,902.16,355,1,45,Month-to-Month,Net Banking,1
282,42,1,51.79,51.79,719,0,48,Month-to-Month,Credit Card,0
283,67,29,104.13,3019.77,349,2,53,Two Year,UPI,0
284,40,50,56.03,2801.5,563,1,26,Month-to-Month,UPI,1
285,48,34,48.94,1663.96,588,0,59,Month-to-Month,Net Banking,0
286,47,51,35.82,1826.82,268,1,56,Two Year,Credit Card,0
287,59,13,79.65,1035.45,291,1,7,Two Year,Debit Card,0
288,52,54,48.63,2626.02,651,3,57,Month-to-Month,Net Banking,1
289,24,1,112.34,112.34,383,2,4,One Year,UPI,0
290,33,34,20.73,704.82,386,3,35,Month-to-Month,UPI,1
291,43,29,102.96,2985.84,437,2,37,Month-to-Month,UPI,1
292,65,48,43.26,2076.48,383,2,42,Month-to-Month,Debit Card,0
293,69,47,78.5,3689.5,563,0,29,Month-to-Month,UPI,1
294,66,13,50.05,650.65,358,2,59,Month-to-Month,Net Banking,1
295,19,48,111.19,5337.12,264,3,36,Month-to-Month,Net Banking,1
296,18,49,142.34,6974.66,638,0,28,Month-to-Month,Net Banking,1
297,65,53,138.39,7334.67,364,0,21,Month-to-Month,UPI,0
298,29,29,91.68,2658.72,409,0,13,Month-to-Month,Debit Card,1
299,22,39,74.77,2916.03,599,5,9,Two Year,Debit Card,0
300,54,24,124.56,2989.44,508,1,10,One Year,UPI,0
301,49,26,105.67,2747.42,633,1,34,Month-to-Month,Credit Card,1
302,26,17,35.7,606.9,601,2,22,Two Year,Credit Card,0
303,58,7,124.93,874.51,445,0,7,Month-to-Month,Net Banking,1
304,52,13,70.04,910.52,622,2,20,Month-to-Month,Debit Card,1
305,36,5,36.46,182.3,520,0,36,Month-to-Month,UPI,1
306,65,26,49.45,1285.7,428,1,27,Month-to-Month,Debit Card,1
307,33,49,47.45,2325.05,534,2,51,One Year,Debit Card,0
308,20,3,82.69,248.07,342,0,30,Two Year,Credit Card,0
309,37,7,42.81,299.67,600,2,57,Month-to-Month,Debit Card,1
310,41,58,27.3,1583.4,584,0,52,Month-to-Month,Debit Card,0
311,50,49,27.32,1338.68,514,0,27,Month-to-Month,UPI,1
312,41,39,91.66,3574.74,269,2,41,Month-to-Month,UPI,0
313,69,53,112.87,5982.11,638,1,26,One Year,Debit Card,0
314,28,1,55.01,55.01,552,2,39,One Year,Debit Card,0
315,66,49,14.85,727.65,497,0,20,Month-to-Month,UPI,1
316,25,17,27.81,472.77,478,1,8,One Year,Credit Card,0
317,53,43,138.06,5936.58,435,2,28,Month-to-Month,UPI,1
318,55,25,79.1,1977.5,458,2,59,Two Year,UPI,0
319,57,59,73.5,4336.5,592,3,14,Month-to-Month,UPI,0
320,37,3,15.33,45.99,437,0,32,One Year,UPI,0
321,52,15,112.01,1680.15,467,0,54,Month-to-Month,UPI,1
322,65,29,83.93,2433.97,484,4,36,Month-to-Month,Credit Card,1
323,42,53,38.29,2029.37,487,3,46,One Year,Net Banking,1
324,52,43,25.41,1092.63,425,0,35,Month-to-Month,UPI,1
325,42,32,63.67,2037.44,479,1,50,Two Year,UPI,0
326,46,26,127.2,3307.2,541,1,27,Month-to-Month,Credit Card,0
327,35,16,131.14,2098.24,391,0,9,Two Year,Net Banking,0
328,63,25,94.4,2360.0,480,4,22,Two Year,Debit Card,0
329,35,54,111.86,6040.44,731,3,27,Month-to-Month,Credit Card,0
330,19,28,26.12,731.36,492,1,33,Month-to-Month,UPI,0
331,52,9,92.34,831.06,388,0,4,One Year,Debit Card,0
332,33,56,103.38,5789.28,374,1,17,Month-to-Month,Credit Card,1
333,58,56,38.1,2133.6,348,0,54,Two Year,Debit Card,0
334,53,1,133.22,133.22,695,2,5,Month-to-Month,Credit Card,0
335,50,29,37.3,1081.7,620,1,41,One Year,Credit Card,0
336,21,57,53.89,3071.73,345,2,46,Month-to-Month,Debit Card,0
337,50,22,96.88,2131.36,525,4,22,One Year,Net Banking,0
338,31,16,99.37,1589.92,646,0,27,Month-to-Month,Debit Card,0
339,38,41,107.91,4424.31,495,0,40,One Year,Debit Card,1
340,65,51,25.68,1309.68,441,2,12,Month-to-Month,Net Banking,0
341,37,44,128.93,5672.92,768,1,49,Month-to-Month,Debit Card,1
342,25,51,84.6,4314.6,271,0,24,Two Year,Net Banking,0
343,24,54,75.99,4103.46,815,0,6,One Year,Net Banking,0
344,20,41,147.35,6041.35,507,2,1,Two Year,Net Banking,1
345,34,7,113.65,795.55,654,1,15,Month-to-Month,UPI,1
346,50,14,26.52,371.28,355,1,57,One Year,Credit Card,1
347,65,29,115.92,3361.68,412,2,1,One Year,UPI,0
348,29,19,23.33,443.27,370,0,35,One Year,Credit Card,0
349,68,19,13.85,263.15,487,0,1,Month-to-Month,UPI,0
350,39,2,66.51,133.02,536,5,48,Month-to-Month,Net Banking,1
351,39,41,149.1,6113.1,628,1,37,Two Year,UPI,1
352,63,45,34.48,1551.6,294,1,9,Month-to-Month,Credit Card,0
353,47,15,104.17,1562.55,518,1,13,Two Year,UPI,0
354,55,3,34.28,102.84,607,2,26,Month-to-Month,Debit Card,0
355,55,11,111.47,1226.17,629,0,14,Two Year,Debit Card,0
356,62,53,80.75,4279.75,447,1,20,One Year,Net Banking,0
357,68,46,105.2,4839.2,448,3,11,One Year,UPI,0
358,25,30,38.4,1152.0,488,2,50,Month-to-Month,UPI,0
359,44,57,114.39,6520.23,522,2,42,Two Year,Credit Card,1
360,44,40,149.39,5975.6,656,1,32,Month-to-Month,Credit Card,1
361,51,18,103.19,1857.42,354,0,56,One Year,UPI,1
362,38,51,79.09,4033.59,405,1,39,Month-to-Month,Credit Card,0
363,47,48,139.24,6683.52,340,3,21,One Year,Debit Card,1
364,50,2,12.22,24.44,551,0,37,Two Year,Debit Card,0
365,45,32,112.19,3590.08,632,3,43,Month-to-Month,Net Banking,1
366,64,8,134.42,1075.36,329,0,51,One Year,Debit Card,0
367,50,22,18.63,409.86,510,3,47,Month-to-Month,Credit Card,1
368,22,6,73.01,438.06,623,1,17,Two Year,Credit Card,0
369,65,12,38.66,463.92,594,1,43,Two Year,Credit Card,0
370,36,47,89.31,4197.57,592,4,51,Month-to-Month,Credit Card,1
371,21,57,100.94,5753.58,357,3,1,Month-to-Month,UPI,0
372,52,40,52.37,2094.8,592,1,28,One Year,UPI,0
373,66,36,74.4,2678.4,477,1,6,Month-to-Month,UPI,0
374,34,15,49.11,736.65,628,0,30,Month-to-Month,UPI,1
375,61,28,61.71,1727.88,553,0,40,Month-to-Month,Debit Card,1
376,45,52,32.34,1681.68,402,0,17,Month-to-Month,Credit Card,0
377,47,57,133.98,7636.86,533,0,8,Month-to-Month,Debit Card,0
378,46,49,11.4,558.6,598,1,56,Month-to-Month,Credit Card,1
379,63,45,133.54,6009.3,439,0,7,Month-to-Month,UPI,1
380,23,18,90.04,1620.72,515,4,32,One Year,Debit Card,0
381,52,2,56.43,112.86,339,0,4,Month-to-Month,Credit Card,1
382,58,13,111.23,1445.99,565,2,47,Month-to-Month,UPI,1
383,54,45,81.09,3649.05,493,1,13,One Year,Net Banking,1
384,41,54,79.88,4313.52,609,1,57,Two Year,Credit Card,0
385,46,15,25.42,381.3,562,2,12,Month-to-Month,Net Banking,1
386,66,20,64.53,1290.6,451,2,10,One Year,Credit Card,0
387,63,29,43.75,1268.75,398,3,19,One Year,UPI,0
388,48,59,12.2,719.8,370,1,22,Month-to-Month,Debit Card,0
389,52,42,60.41,2537.22,439,1,44,Month-to-Month,Credit Card,0
390,50,29,22.58,654.82,606,2,26,Month-to-Month,Net Banking,1
391,69,3,45.96,137.88,289,0,14,One Year,UPI,0
392,38,19,22.95,436.05,375,1,29,Month-to-Month,Credit Card,0
393,49,3,24.13,72.39,603,0,55,Two Year,Net Banking,0
394,40,54,37.86,2044.44,659,0,57,One Year,Credit Card,0
395,50,14,149.98,2099.72,382,0,58,Month-to-Month,Net Banking,1
396,20,40,10.31,412.4,374,1,15,Month-to-Month,Credit Card,1
397,35,59,99.41,5865.19,668,2,44,Month-to-Month,Debit Card,1
398,42,55,29.77,1637.35,485,0,39,Month-to-Month,Debit Card,0
399,59,4,138.89,555.56,392,2,17,Month-to-Month,Debit Card,0
400,48,59,23.11,1363.49,625,1,50,One Year,Debit Card,0
401,20,52,143.71,7472.92,560,1,57,One Year,UPI,1
